        #height (Mm)       gravity (cm/s^2)          dP/dz                         density (g/cm^3)        dRho/dz                sound speed (cm/s)
        -20.29999924     -29068.15820312     -8.71041489E+01      3.00119887E-03     -2.77029072E-12        5.610314E+06
        -20.27499962     -29066.01367188     -8.69106216E+01      2.99427472E-03     -2.76903934E-12        5.605981E+06
        -20.25000000     -29063.86914062     -8.67166519E+01      2.98735360E-03     -2.76776692E-12        5.601644E+06
        -20.22500038     -29061.72460938     -8.65224380E+01      2.98043573E-03     -2.76562128E-12        5.597302E+06
        -20.20000076     -29059.58203125     -8.63279572E+01      2.97352555E-03     -2.76402967E-12        5.592957E+06
        -20.17499924     -29057.43750000     -8.60465317E+01      2.96661560E-03     -2.76100171E-12        5.588609E+06
        -20.14999962     -29055.29492188     -8.58306885E+01      2.95972056E-03     -2.75656039E-12        5.584260E+06
        -20.12500000     -29053.15039062     -8.56793823E+01      2.95283296E-03     -2.75436965E-12        5.579910E+06
        -20.10000038     -29051.00781250     -8.54629669E+01      2.94594862E-03     -2.75272426E-12        5.575556E+06
        -20.07500076     -29048.86523438     -8.52466431E+01      2.93906918E-03     -2.75050035E-12        5.571198E+06
        -20.04999924     -29046.72265625     -8.50730209E+01      2.93219625E-03     -2.74854250E-12        5.566838E+06
        -20.02499962     -29044.58007812     -8.48987503E+01      2.92532658E-03     -2.74628801E-12        5.562476E+06
        -20.00000000     -29042.43750000     -8.46605453E+01      2.91846483E-03     -2.74402116E-12        5.558108E+06
        -19.97500038     -29040.29492188     -8.44226837E+01      2.91160657E-03     -2.74118228E-12        5.553738E+06
        -19.95000076     -29038.15429688     -8.42270508E+01      2.90475879E-03     -2.73861359E-12        5.549366E+06
        -19.92499924     -29036.01367188     -8.40521469E+01      2.89791333E-03     -2.73713430E-12        5.544990E+06
        -19.89999962     -29033.87304688     -8.38559265E+01      2.89107324E-03     -2.73398231E-12        5.540610E+06
        -19.87500000     -29031.73242188     -8.36180115E+01      2.88424361E-03     -2.73082446E-12        5.536229E+06
        -19.85000038     -29029.59179688     -8.34010849E+01      2.87741912E-03     -2.72930246E-12        5.531844E+06
        -19.82500076     -29027.45117188     -8.32252655E+01      2.87059695E-03     -2.72721169E-12        5.527457E+06
        -19.79999924     -29025.31054688     -8.30284729E+01      2.86378292E-03     -2.72374224E-12        5.523065E+06
        -19.77499962     -29023.16992188     -8.27908173E+01      2.85697822E-03     -2.72108486E-12        5.518670E+06
        -19.75000000     -29021.03125000     -8.26144180E+01      2.85017770E-03     -2.71922871E-12        5.514272E+06
        -19.72500038     -29018.89062500     -8.24374542E+01      2.84338230E-03     -2.71708394E-12        5.509868E+06
